Name,Email,Age,Gender,Location,Item purchased,Purchased date,Category,Quantity,Price,Last purchase,Frequency of purchase,Preferred Brands,Discount sensitivity,Browsing history,Ratings
Ashutosh ,khanna.ashutosh10@gmail.com,21,Male,North Robinside,Sofa,05-06-2024,Furniture,1,266.65,29-12-2023,14,DHP,High,"['Appliances', 'Toys']",3
Juan Serrano,daniel54@example.net,59,Other,North Robinside,Doll,05-06-2024,Toys,3,297.72,29-12-2023,17,Disney,High,"['Furniture', 'Health & Wellness']",3
Angela Scott,johnsonchristopher@example.net,45,Male,Brittanyville,Lawn Mower,28-06-2024,Home Improvement,4,410.74,02-01-2024,15,John Deere,High,"['Home Improvement', 'Groceries']",3
Sara Shaw,mknox@example.com,61,Female,West Kimberlyberg,Drill,21-03-2024,Home Improvement,5,475.48,21-02-2024,13,Makita,High,"['Appliances', 'Toys']",4
Kimberly James,pennywilcox@example.net,29,Female,Alanberg,Hair Care,23-02-2024,Beauty,5,317.54,02-03-2023,20,Garnier,High,"['Toys', 'Groceries', 'Health & Wellness']",3
Tommy Parks,longpaul@example.org,57,Other,Lisahaven,Jacket,18-02-2024,Clothing,3,176.15,12-03-2023,4,Columbia,High,"['Clothing', 'Furniture', 'Clothing', 'Furniture', 'Beauty']",3
Mary Kim,jacob90@example.net,35,Female,Port Ritastad,Jeans,18-05-2024,Clothing,3,288.75,15-10-2023,6,Levi's,Medium,['Electronics'],2
Mrs. Leslie Gomez MD,tannerthompson@example.net,22,Male,East Lisamouth,Kayak,02-04-2024,Sports & Outdoors,3,245.9,20-06-2023,19,Old Town,High,"['Furniture', 'Toys', 'Home Improvement', 'Furniture', 'Electronics']",3
Sarah Orozco,kristie54@example.org,42,Female,North Aaron,Supplements,14-07-2024,Health & Wellness,2,330.4,01-07-2024,5,Optimum Nutrition,High,"['Health & Wellness', 'Sports & Outdoors', 'Groceries', 'Appliances', 'Electronics']",4
David Schwartz,morgansmith@example.org,50,Other,North Shannon,Skincare,30-04-2024,Beauty,3,393.43,05-08-2023,5,CeraVe,Medium,"['Home Improvement', 'Home Improvement']",2
Joseph Mcmillan,jacobjohnson@example.org,58,Male,South Rebeccastad,Tool Set,21-01-2024,Home Improvement,5,107.47,26-12-2023,19,Craftsman,Low,"['Groceries', 'Clothing', 'Appliances', 'Electronics', 'Toys']",5
Alexis Williams,yhiggins@example.org,38,Female,Clarkbury,Drill,19-01-2024,Home Improvement,5,242.44,30-03-2023,14,Makita,Medium,"['Furniture', 'Sports & Outdoors', 'Home Improvement', 'Sports & Outdoors']",3
Wendy Anthony,jamie31@example.org,67,Male,Port Jessicamouth,Paint,20-02-2024,Home Improvement,5,155.67,22-06-2023,4,Valspar,High,"['Clothing', 'Clothing', 'Furniture', 'Health & Wellness', 'Electronics']",4
Greg Tyler,paul82@example.com,38,Male,West Tiffanystad,Sofa,05-04-2024,Furniture,1,260.26,06-05-2023,15,DHP,High,"['Electronics', 'Electronics', 'Beauty', 'Sports & Outdoors', 'Appliances']",2
Anthony Diaz,glenn83@example.org,28,Other,West Kathleen,Washer,08-06-2024,Appliances,1,282.34,14-11-2023,6,GE,Low,"['Appliances', 'Appliances', 'Beauty', 'Clothing']",4
Traci Crawford,lopezcindy@example.org,19,Male,East Kevinland,Puzzle,17-02-2024,Toys,4,153.89,10-10-2023,9,Melissa & Doug,Low,"['Sports & Outdoors', 'Appliances', 'Electronics', 'Clothing']",4
James Stewart,foxtimothy@example.net,62,Other,Anthonyport,Tent,11-01-2024,Sports & Outdoors,2,404.65,20-02-2023,9,ALPS Mountaineering,Medium,"['Home Improvement', 'Beauty', 'Electronics', 'Toys']",3
Daniel Landry Jr.,jillmichael@example.org,58,Male,New Christopher,Car,11-02-2024,Toys,3,292.2,28-04-2023,11,Matchbox,Medium,"['Home Improvement', 'Clothing', 'Health & Wellness', 'Appliances']",3
Erica Castillo,henryrebecca@example.org,60,Other,Williamland,TV,01-07-2024,Electronics,4,23.86,10-12-2023,11,Samsung,Low,['Home Improvement'],3
Dawn Smith,hdunlap@example.com,69,Male,South Brian,Skincare,24-05-2024,Beauty,2,165.01,10-12-2023,11,Olay,Medium,['Electronics'],2
Angela Roberts,miranda55@example.org,64,Female,New Brandonside,Paint,27-07-2024,Home Improvement,5,255.18,08-04-2024,17,Behr,High,"['Furniture', 'Toys']",5
Paula Wright,amandathomas@example.com,67,Other,North Susanhaven,Bed,06-05-2024,Furniture,1,391.25,29-07-2023,3,Mainstays,High,"['Health & Wellness', 'Clothing']",3
Amanda Marshall,andrewfry@example.org,46,Male,Port Richard,Tool Set,08-06-2024,Home Improvement,3,52.58,17-08-2023,5,Craftsman,High,"['Toys', 'Appliances']",3
Kyle Lee,agregory@example.net,59,Female,Port Megantown,Car,20-04-2024,Toys,1,151.85,13-07-2023,8,Matchbox,Low,"['Home Improvement', 'Clothing', 'Electronics']",2
Lisa Ashley,zimmermanheather@example.com,27,Female,East Herbert,Dryer,09-03-2024,Appliances,2,395.91,08-03-2024,20,Whirlpool,Low,"['Toys', 'Clothing', 'Furniture', 'Toys']",3
Mrs. Angela Hernandez,marymayer@example.com,57,Male,Hernandezside,Paint,17-01-2024,Home Improvement,2,109.38,01-05-2023,5,Sherwin-Williams,High,"['Clothing', 'Groceries']",5
Stacy Jackson,vshaffer@example.org,31,Female,Jaredville,Hair Care,08-06-2024,Beauty,4,116.11,07-06-2024,19,Garnier,Low,"['Health & Wellness', 'Beauty', 'Beauty', 'Toys', 'Appliances']",2
Heather Wallace,johnpayne@example.com,53,Male,Wolfehaven,Washer,02-07-2024,Appliances,2,88.79,21-08-2023,3,LG,High,"['Groceries', 'Toys', 'Beauty', 'Groceries']",2
Hannah King,danielle58@example.org,39,Other,North Seanton,Drill,29-04-2024,Home Improvement,1,432.37,25-01-2024,3,DeWalt,Low,"['Toys', 'Health & Wellness']",3
Lawrence Nguyen,hardinsierra@example.com,28,Other,Walterberg,TV,29-03-2024,Electronics,1,306.65,31-08-2023,4,Samsung,High,"['Furniture', 'Home Improvement', 'Toys']",3
Gregory Henry,yhart@example.org,59,Other,Ortizhaven,Puzzle,10-07-2024,Toys,4,366.52,03-01-2024,13,Ravensburger,High,"['Electronics', 'Groceries', 'Furniture', 'Appliances', 'Furniture']",4
Kyle Gray,laceybutler@example.org,39,Other,North Rebecca,Kayak,13-04-2024,Sports & Outdoors,1,195.94,29-08-2023,9,Pelican,High,"['Toys', 'Groceries']",3
Karen Farley,mccormickerin@example.org,65,Female,Port Isabelside,Tool Set,16-03-2024,Home Improvement,3,69.41,26-01-2024,4,Craftsman,Low,"['Appliances', 'Health & Wellness', 'Beauty']",1
Emily Ballard MD,christine51@example.com,22,Male,Jamesville,TV,08-01-2024,Electronics,2,357.95,11-03-2023,3,LG,High,"['Health & Wellness', 'Appliances', 'Electronics', 'Health & Wellness']",5
Joseph Foster,fanderson@example.com,57,Female,East Haleyview,Bike,15-07-2024,Sports & Outdoors,5,437.67,06-09-2023,12,Mongoose,Low,"['Groceries', 'Sports & Outdoors', 'Toys']",3
Stephanie Johnson,george69@example.net,35,Male,Melissaton,First Aid,26-02-2024,Health & Wellness,2,407.42,23-03-2023,10,Johnson & Johnson,High,['Home Improvement'],2
Matthew Johnson,dawn37@example.com,56,Female,East Kristen,Bread,16-02-2024,Groceries,1,48.62,03-02-2024,15,Sara Lee,High,"['Toys', 'Beauty']",4
Theresa Johnson,careybob@example.com,46,Female,Port Jennatown,Car,07-03-2024,Toys,3,217.34,19-12-2023,7,Disney,High,"['Health & Wellness', 'Appliances', 'Health & Wellness', 'Groceries']",3
Lauren Avila,annepierce@example.com,24,Female,Lake Sara,Milk,14-06-2024,Groceries,1,192.22,06-01-2024,3,Horizon,Low,['Home Improvement'],5
David Harris,michaelmyers@example.com,69,Female,Johnsonchester,Laptop,11-05-2024,Electronics,4,31.98,23-06-2023,13,Lenovo,Medium,"['Furniture', 'Appliances', 'Sports & Outdoors', 'Furniture', 'Furniture']",3
